source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
GILA,ATRARIA,PARENT-CHILD,1.0,11.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,INTERMEDIA,PARENT-CHILD,1.0,11.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ROBUSTA,PARENT-CHILD,7.0,13.64,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLOSSOGOBIUS,AUREUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,BREVICEPS,PARENT-CHILD,1.0,10.91,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,COTIDIANUS,PARENT-CHILD,12.0,13.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,HUTTONI,PARENT-CHILD,3.0,12.33,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORUS,DORMITOR,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIUSCULUS,FLAVESCENS,CHILD-PARENT,4.0,11.04,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,46.0,13.79,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMIGRAMMUS,ERYTHROZONUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPHAESTUS,FULIGINOSUS,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPSETUS,ODOE,PARENT-CHILD,5.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYBOGNATHUS,HANKINSONI,PARENT-CHILD,3.0,12.58,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYBOGNATHUS,HAYI,PARENT-CHILD,2.0,12.09,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
