parent,child,hits,mean,median
VALLISNERIA,AMERICUNA,3,13.99,13.99
WHITEFISH,COREGONUS,3,10.985,10.985
WHITEFISH,NASUS,3,10,10
WHITEFISH,WILLIAMSONI,3,10.45,10.45
ACIPENSER,RUTHENUS,2,12.19,12.19
ALOSA,PSUEDOHARENGUS,2,10.19,10.19
ALPINUS,LINNEAUS,2,12.29,12.29
AMNIATABA,PERCOIDES,2,13.99,13.99
AMPHIPODA,HEMIPTERA,2,11.83,11.83
AMPHIPODA,TRICHOPTERA,2,11.35,11.35
ANIMAL,OECOLOGIA,2,13,13
ANOLIS,SAGREI,2,13.99,13.99
ARDEA,CINERA,2,13,13
ASTYANAX,SPECIE,2,5.61,5.61
BARBATULA,LINNAEUS,2,7.82,7.82
BIVALVIA,MYTILIDAE,2,13.41,13.41
BREVOORTIA,TYRANNUS,2,13.99,13.99
BRYCONAMERICUS,STRAMINEUS,2,12.19,12.19
CAENIDAE,BAETIDAE,2,13.67,13.67
CENTRARCHIDAE,GIBBOSUS,2,9.89,9.89
CERATOPHYLLUM,DEMERSUM,2,13.41,13.41
CHEIMARRICHTHYS,FOSTERI,2,13.99,13.99
CHIRONOMID,DIET,2,12.415,12.415
CHIRONOMIDAE,ODONATA,2,11,11
CLUPEIDAE,CEPEDIANUM,2,11.47,11.47
COLEOPTERA,DIPTERA,2,11.24,11.24
COMO,CONSECUENCIA,2,13.99,13.99
COPEPODA,OSTRACODA,2,12.54,12.54
COREGONUS,PUSILLUS,2,7.83,7.83
COREGONUS,SPECIE,2,5.35,5.35
COREGONUS,ZAVARETUS,2,7.84,7.84
COTTUS,FISH,2,8.08,8.08
COTTUS,GULOSUS,2,8.53,8.53
COTTUS,LINNAEUS,2,7.72,7.72
COTTUS,NOZAWAE,2,8.54,8.54
COTTUS,POECILOPUS,2,8.54,8.54
COTTUS,POLLUX,2,8.54,8.54
CULAEA,INCON,2,13.99,13.99
CYCLEPTUS,ELONGATUS,2,13.41,13.41
CYPRINELLA,GALACTURA,2,10.44,10.44
CYPRINELLA,PIMEPHALES,2,10.3,10.3
CYPRINUS,CARPIO,2,13.19,13.19
DAPHNIA,CRISTATA,2,11.24,11.24
DAPHNIA,DROSOPHILA,2,11.24,11.24
DILUVIANA,FISH,2,9.85,9.85
DIPTERA,SIMULIIDAE,2,11,11
DIPTERA,TRICHOPTERA,2,10.44,10.44
DREISSENA,BUGENSIS,2,11.14,11.14
EPHEMEROPTERA,ODONATA,2,10.87,10.87
ESOCIDAE,SALMONIDAE,2,11.91,11.91
ETHEOSTOMA,ASPRIGENE,2,9.15,9.15
ETHEOSTOMA,CRAGINI,2,9.15,9.15
ETHEOSTOMA,LYNCEUM,2,9.15,9.15
ETHEOSTOMA,MICROPERCA,2,9.15,9.15
ETHEOSTOMA,RUBRUM,2,9.15,9.15
ETHEOSTOMA,TETRAZONUM,2,9.15,9.15
FISH,ANGUILLA,2,6.575,6.575
FISH,COREGONUS,2,7.56,7.56
FISH,GIGAS,2,5.505,5.505
FISH,LAGOCEPHALUS,2,5.37,5.37
FISH,LAVARETUS,2,5.34,5.34
FISH,MACROCHIRUS,2,7.57,7.57
FISH,MYKISS,2,7.56,7.56
FISH,NOTATUS,2,5.42,5.42
FISH,PERCA,2,7.56,7.56
FISH,PIMELODIDAE,2,7.57,7.57
FISH,POMOXIS,2,7.57,7.57
FISH,PYLODICTIS,2,7.57,7.57
FISH,RHODEUS,2,7.58,7.58
FISH,SIMOTERUM,2,12.29,12.29
FISH,VITREUS,2,7.55,7.55
FONTINALIS,TRUTTA,2,6.12,6.12
FUNDULUS,SCIADICUS,2,10.51,10.51
FUNDULUS,ZEBRINUS,2,10.47,10.47
GALAXIAS,OLIDUS,2,9.97,9.97
GALAXIAS,SPECIE,2,5.56,5.56
GAMBUSIA,DAPHNIA,2,9.21,9.21
GAMBUSIA,FISH,2,9.16,9.16
GAMMARUS,PSEUDOLIMNAEUS,2,13,13
GIGAS,TELEOSTEI,2,13,13
GLOSSOGOBIUS,AUREUS,2,13.67,13.67
GOBIO,LINNAEUS,2,8.87,8.87
GOBIOIDEI,SPECIES,2,11.24,11.24
GOBIOMORUS,DORMITOR,2,13.99,13.99
GOBY,GYMNOTRACHELUS,2,9.12,9.12
GOBY,RHINOGOBIUS,2,9.16,9.16
GOBY,SEMILUNARIS,2,9.08,9.08
GUMMARUS,PULEX,2,12.19,12.19
HEMIGRAMMUS,ERYTHROZONUS,2,13.99,13.99
HIPPURIS,VULGARIS,2,13.41,13.41
HYBOGNATHUS,HAYI,2,12.09,12.09
HYDROCYNUS,FORSKAHLII,2,12.19,12.19
ICTALURUS,FURCATUS,2,11.3,11.3
ICTIOBUS,BUBALUS,2,13.67,13.67
LAMPETRA,RICHARDSONI,2,9.71,9.71
LAMPETRA,SPP,2,9.66,9.66
LARVA,COPEPODA,2,10.71,10.71
LARVA,OSTRACODA,2,11.04,11.04
