TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB frequency,both
 SPECIES,FLAVESCENS,PERCA, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB frequency,both
 SPECIES,FLUVIATILIS,PERCA, GENUS,VTO ontology,is_a,10.73,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.73,WEB corpus,both,WEB frequency,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB frequency,both
 SPECIES,CHRYSOPS,MORONE, GENUS,VTO ontology,is_a,12.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.57,WEB corpus,both,WEB frequency,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,13.69,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.69,WEB corpus,both,WEB frequency,both
 SPECIES,PUNCTULATUS,MICROPTERUS, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB frequency,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,13.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.57,WEB corpus,both,WEB frequency,both
 SPECIES,ANNULARIS,POMOXIS, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,CYANELLUS,LEPOMIS, GENUS,VTO ontology,is_a,11.44,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.44,WEB corpus,both,WEB frequency,both
