parent,child,hits,score,score.1
ESOX,LINNAEUS,13,10.32,10.32
ESOX,LUCIUS,179,11.995,11.995
ESOX,LUCZUS,1,7.37,7.37
ESOX,MASQUINONGY,3,8.94,8.94
ESTA,ESPECIE,1,13.99,13.99
ETHEOSTOMA,ASPRIGENE,2,9.15,9.15
ETHEOSTOMA,BLENNIOIDES,1,8.16,8.16
ETHEOSTOMA,BREVIROSTRUM,1,8.16,8.16
ETHEOSTOMA,CAERULEUM,9,11.23,11.23
ETHEOSTOMA,CHIENENSE,1,8.16,8.16
ETHEOSTOMA,CINEREUM,14,11.81,11.81
ETHEOSTOMA,CRAGINI,2,9.15,9.15
ETHEOSTOMA,CROSSOPTERUM,1,8.16,8.16
ETHEOSTOMA,EXILE,5,10.43,10.43
ETHEOSTOMA,FLABELLARE,17,12.05,12.05
ETHEOSTOMA,HISTRIO,1,8.16,8.16
ETHEOSTOMA,LYNCEUM,2,9.15,9.15
ETHEOSTOMA,MICROPERCA,2,9.15,9.15
ETHEOSTOMA,NIANGUAE,3,9.71,9.71
ETHEOSTOMA,NIGRUM,17,12.05,12.05
ETHEOSTOMA,OKALOOSAE,1,8.16,8.16
ETHEOSTOMA,OLMSTEDI,1,8.16,8.16
ETHEOSTOMA,PERCA,1,8.07,8.07
ETHEOSTOMA,PERCIDAE,1,8.1,8.1
ETHEOSTOMA,RUBRUM,2,9.15,9.15
ETHEOSTOMA,SIMOTERUM,3,9.7,9.7
ETHEOSTOMA,SPECTABILE,19,12.18,12.18
ETHEOSTOMA,TETRAZONUM,2,9.15,9.15
ETHEOSTOMA,WHIPPLEI,1,8.16,8.16
ETHEOSTOMA,ZONALE,3,9.72,9.72
ETROPLUS,MACULATUS,1,9.19,9.19
EUCALYPTUS,MINIATA,1,13.41,13.41
EUCALYPTUS,TETRADONTA,1,13.41,13.41
EUDIAPTOMUS,GRACILIS,1,12.68,12.68
EUDIAPTOMUS,INSECT,1,11.83,11.83
EUDIAPTOMUS,STICKLEBACK,1,11.41,11.41
EUDIAPTOMUS,TRICHOPTERA,1,11.67,11.67
EUPOMIS,GIBBOSUS,1,8.91,8.91
EXILIS,PERCINA,1,11.99,11.99
EXTRANEUS,GOBIIDAE,1,12.68,12.68
FISH,ACIPENSER,1,6.58,6.58
FISH,ALBULA,1,6.57,6.57
FISH,ALTIVELIS,3,6.005,6.005
FISH,AMEIURUS,1,6.58,6.58
FISH,AMIA,1,6.58,6.58
FISH,ANGUILLA,2,6.575,6.575
FISH,APLODINOTUS,1,6.58,6.58
FISH,ARAPAIMA,1,6.58,6.58
FISH,ARCTICUS,1,6.58,6.58
FISH,BARBUS,3,7.896666667,6.58
FISH,BJOERKNA,1,6.58,6.58
FISH,BLICCA,1,6.58,6.58
FISH,BRUNNEUS,1,4.42,4.42
FISH,CAMPOSTOMA,1,6.58,6.58
FISH,CAROLINAE,1,4.44,4.44
FISH,CATOSTOMUS,1,6.58,6.58
FISH,CLARKI,1,6.57,6.57
FISH,CONFLUENTUS,1,6.56,6.56
FISH,COREGONUS,2,7.56,7.56
FISH,COTTIDAE,1,6.58,6.58
FISH,COTTUS,3,8.14,8.14
FISH,CYANELLUS,1,4.43,4.43
FISH,CYPRINIDAE,3,8.16,8.16
FISH,CYPRINUS,1,6.57,6.57
FISH,ESOX,5,8.81,8.81
FISH,FUNDULUS,1,4.44,4.44
FISH,GASTEROSTEUS,1,6.58,6.58
FISH,GIBBOSUS,4,6.48,6.48
FISH,GIGAS,2,5.505,5.505
FISH,GOBIO,3,5.955,5.955
FISH,GRANULOSUS,1,4.43,4.43
FISH,GRUNNIENS,1,6.58,6.58
FISH,HANKINSONI,1,4.44,4.44
FISH,ICTALURUS,1,6.58,6.58
FISH,JAPONICUS,1,6.58,6.58
FISH,KUHLIA,1,6.58,6.58
FISH,LAGOCEPHALUS,2,5.37,5.37
FISH,LAVARETUS,2,5.34,5.34
FISH,LEPOMIS,3,8.13,8.13
