source,target,hits,score,score.1,Hits,Score
EPHEMERIDAE,BRACHYCENTRIDAE,1.0,13.99,13.99,1.0,13.99
EPHYDRIDAE,ANTHOMYIIDAE,1.0,13.99,13.99,1.0,13.99
EPILOBIUM,HIRSUTUM,2.0,13.99,13.99,2.0,13.99
EPIPACTIS,ATRORUBENS,1.0,13.99,13.99,1.0,13.99
EPISTYLIS,ZOOTHAMNIUM,1.0,13.99,13.99,1.0,13.99
ERGASILUS,SIEBOLDI,3.0,13.99,13.99,3.0,13.99
ERIMONAX,MONACHUS,1.0,13.99,13.99,1.0,13.99
ERIMYSTAX,X-PUNCTATA,2.0,13.99,13.99,2.0,13.99
ERPOBDELLA,OCTOCULATA,1.0,13.99,13.99,1.0,13.99
ERYTHEMIS,SIMPLICICOLLIS,2.0,13.99,13.99,2.0,13.99
ETELIS,CARBUNCULUS,2.0,13.99,13.99,2.0,13.99
ETHMIDIUM,MACULATUM,4.0,13.67,13.67,4.0,13.67
EUALETES,TULIPA,1.0,13.99,13.99,1.0,13.99
EUBOTHRIUM,CRASSUM,33.0,13.58,13.58,33.0,13.58
EUCLINOSTOMUM,HETEROSTOMUM,1.0,13.99,13.99,1.0,13.99
EUCYCLOGOBIUS,NEWBERRYI,4.0,13.99,13.99,4.0,13.99
EUHRYCHIOPSIS,LECONTEI,1.0,13.99,13.99,1.0,13.99
EUMETOPIAS,JUBATUS,10.0,13.99,13.99,10.0,13.99
EUPARYPHUS,HYDROPTILA,1.0,13.99,13.99,1.0,13.99
EUPHAUSIA,SUPERBA,4.0,13.99,13.99,4.0,13.99
EUPHYDRYAS,AURINIA,21.0,13.99,13.99,21.0,13.99
EURYCERCUS,LAMELLATUS,12.0,13.94,13.94,12.0,13.94
EURYCOTIS,FLORIDANA,1.0,13.99,13.99,1.0,13.99
EURYTEMORA,HERDMANI,2.0,13.99,13.99,2.0,13.99
EXOPALAEMON,STYLIFERUS,1.0,13.99,13.99,1.0,13.99
FAGUS,SYLVATICA,7.0,13.99,13.99,7.0,13.99
FALLICAMBARUS,FODIENS,2.0,13.99,13.99,2.0,13.99
FASCIOLA,HEPATICA,4.0,13.99,13.99,4.0,13.99
FASCIOLOPSIS,BUSKI,1.0,13.99,13.99,1.0,13.99
FAVONIGOBIUS,EXQUISITUS,3.0,13.99,13.99,3.0,13.99
FELLODISTOMUM,BACCIGER,1.0,13.99,13.99,1.0,13.99
FICEDULA,HYPOLEUCA,7.0,13.9,13.9,7.0,13.9
FICOPOMATUS,ENIGMATICUS,1.0,13.99,13.99,1.0,13.99
FIN,AMEIURUS,1.0,13.99,13.99,1.0,13.99
FLAVOBACTERIUM,COLUMNARE,28.0,13.97,13.97,28.0,13.97
FONTINALIS,ANTIPYRETICA,4.0,13.99,13.99,4.0,13.99
FUCUS,VESICULOSUS,4.0,13.99,13.99,4.0,13.99
FUNDULUS,HETEROCLITUS,33.0,13.69,13.69,33.0,13.69
FURCELLARIA,LUMBRICALIS,1.0,13.99,13.99,1.0,13.99
GALAXIELLA,NIGROSTRIATA,1.0,13.99,13.99,1.0,13.99
GALERIA,MELLONELLA,1.0,13.99,13.99,1.0,13.99
GAMARELLUS,ANGULOSUS,1.0,13.99,13.99,1.0,13.99
GASTEROCHISMA,MELAMPUS,1.0,13.99,13.99,1.0,13.99
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96,254.0,13.96
GASTROPHYSA,VIRIDULA,2.0,13.99,13.99,2.0,13.99
GAVIA,IMMER,5.0,13.86,13.86,5.0,13.86
GILLICHTHYS,MIRABILIS,5.0,13.62,13.62,5.0,13.62
GLANIS,POLYPTERUS,1.0,13.99,13.99,1.0,13.99
GLENODINIUM,PULVISCULUS,1.0,13.99,13.99,1.0,13.99
GLOBICEPHALA,MELEANUS,1.0,13.99,13.99,1.0,13.99
GLOSSAMIA,APRION,1.0,13.99,13.99,1.0,13.99
GLYPTOCEPHALUS,STELLERI,2.0,13.99,13.99,2.0,13.99
GNATHOSTOMULIDA,MICROGNATHOZOA,1.0,13.99,13.99,1.0,13.99
GOBIESOX,STRUMOSUS,7.0,13.99,13.99,7.0,13.99
GOBIONELLUS,SHUFELDTI,1.0,13.99,13.99,1.0,13.99
GOBIOSOMA,BOSCI,26.0,13.59,13.59,26.0,13.59
GOBY,GOBIIDAE,1.0,13.99,13.99,1.0,13.99
GOMPHUS,VULGATISSIMUS,2.0,13.99,13.99,2.0,13.99
GONATIDAE,GONATUS,1.0,13.99,13.99,1.0,13.99
GONOCERCA,MACROFORMIS,1.0,13.99,13.99,1.0,13.99
GRAPTOLEBERIS,TESTUDINARIA,5.0,13.99,13.99,5.0,13.99
GREVILLEA,PTEROSPERMA,1.0,13.99,13.99,1.0,13.99
GROMPHADORHINA,PORTENTOSA,5.0,13.99,13.99,5.0,13.99
GRYLLODES,SIGILLATUS,1.0,13.99,13.99,1.0,13.99
GYLIAUCHEN,NAHAENSIS,1.0,13.99,13.99,1.0,13.99
GYMNOCEPHALUS,CERNUUS,55.0,13.77,13.77,55.0,13.77
GYMNODINIUM,HELVETICUM,2.0,13.99,13.99,2.0,13.99
GYMNOTIFORMES,GYMNOTIDAE,1.0,13.99,13.99,1.0,13.99
GYRAULUS,CRISTA,2.0,13.67,13.67,2.0,13.67
GYRINOPHILUS,PORPHYRITICUS,2.0,13.99,13.99,2.0,13.99
GYRINUS,CONVEXIUSCULUS,1.0,13.99,13.99,1.0,13.99
GYRODACTYLUS,SALARIS,24.0,13.8,13.8,24.0,13.8
HAEMATOPUS,OSTRALEGUS,5.0,13.99,13.99,5.0,13.99
HAEMULON,PLUMIERII,1.0,13.99,13.99,1.0,13.99
HAKEA,PREISSII,1.0,13.99,13.99,1.0,13.99
HALESUS,DIGITATUS,1.0,13.99,13.99,1.0,13.99
HALIAEETUS,LEUCOCEPHALUS,2.0,13.99,13.99,2.0,13.99
HALICHOERUS,GRYPUS,2.0,13.99,13.99,2.0,13.99
HALISIDOTA,ARGENTATA,1.0,13.99,13.99,1.0,13.99
HALTERIA,MESODINIUM,2.0,13.99,13.99,2.0,13.99
HALVORSENIUS,EXILIS,1.0,13.99,13.99,1.0,13.99
HAPLOCHROMIS,BURTONI,2.0,13.99,13.99,2.0,13.99
HAPLOPHRYNE,MOLLIS,2.0,13.99,13.99,2.0,13.99
HAPLORCHIS,PUMILIO,4.0,13.83,13.83,4.0,13.83
HARENGULA,PENSACOLAE,2.0,13.99,13.99,2.0,13.99
HELICE,TRIDENS,1.0,13.99,13.99,1.0,13.99
HELICOMETRA,FASCIATA,2.0,13.99,13.99,2.0,13.99
HEMICHROMIS,LETOURNEUXI,1.0,13.99,13.99,1.0,13.99
HEMICLEPSIS,MARGINATA,1.0,13.99,13.99,1.0,13.99
HEMIGRAMMOCAPOETA,KEMALI,1.0,13.99,13.99,1.0,13.99
HEMIMYSIS,ANOMALA,5.0,13.86,13.86,5.0,13.86
HENNEGUYA,SALMINICOLA,12.0,13.99,13.99,12.0,13.99
HEPSETUS,ODOE,1.0,13.99,13.99,1.0,13.99
HEPTAGENIA,SULPHUREA,3.0,13.58,13.58,3.0,13.58
HETEROMASTUS,FILIFORMIS,1.0,13.99,13.99,1.0,13.99
HETEROPOLARIA,LWOFFI,1.0,13.99,13.99,1.0,13.99
HIODON,TERGISUS,3.0,13.77,13.77,3.0,13.77
HIPPEUTIS,COMPLANATUS,2.0,13.99,13.99,2.0,13.99
HIPPOCAMPUS,ERECTUS,1.0,13.99,13.99,1.0,13.99
HIPPOGLOSSOIDES,PLATESSOIDES,1.0,13.99,13.99,1.0,13.99
HIPPOGLOSSUS,HIPPOGLOSSUS,6.0,13.77,13.77,6.0,13.77
HIRUDO,MEDICINALIS,1.0,13.99,13.99,1.0,13.99
HIRUNDO,RUSTICA,5.0,13.99,13.99,5.0,13.99
HISTIOBRANCHUS,BATHYBIUS,1.0,13.99,13.99,1.0,13.99
HISTRIONICUS,HISTRIONICUS,1.0,13.99,13.99,1.0,13.99
HOLOPEDIUM,GIBBERUM,5.0,13.99,13.99,5.0,13.99
HOPLIAS,MALABARICUS,5.0,13.73,13.73,5.0,13.73
