source,target,hits sum,score mean,score median
CYANELLUS,GIBBOSUS,2,9.5,9.5
CYCLEPTUS,ELONGATUS,2,13.67,13.67
CYPRINUS,LINNAEUS,2,9,9
DAPHNIA,CARINATA,2,10.47,10.47
DIGENEA,CESTODA,2,13.41,13.41
DIPLOSTOMUM,PHOXINI,2,13.41,13.41
DIPLOSTOMUM,SPATHACEUM,2,13.41,13.41
DIPTERA,CHIRONOMIDAE,2,11.54,11.54
DIPTERA,COLEOPTERA,2,11.475,11.475
DIPTERA,HETEROPTERA,2,11.75,11.75
DIPTERA,ODONATA,2,11.75,11.75
EGERIA,DENSA,2,13.67,13.67
EGRETTA,GARZETTA,2,13.99,13.99
EPHEMERELLA,BAETIS,2,13.99,13.99
EPHEMERELLIDAE,ELMIDAE,2,13.19,13.19
EPHEMEROPTERA,LIMNEPHILIDAE,2,10.91,10.91
ERYTHROPHTHALMUS,FLUVIATILIS,2,6.46,6.46
ESOCIDAE,ESOX,2,10.32,10.32
ESOCIDAE,MASQUINONGY,2,13.41,13.41
ETHEOSTOMA,FLABELLARE,2,10.57,10.57
ETHEOSTOMA,OLMSTEDI,2,10.6,10.6
ETHEOSTOMA,SPECTABILE,2,10.54,10.54
FLAVESCENS,PERCINA,2,12.29,12.29
FONTINALIS,TRUTTA,2,8.82,8.82
FURCATUS,PUNCTATUS,2,9.95,9.95
GALAXIAS,TRUTTACEUS,2,10.11,10.11
GAMBUSIA,GEISERI,2,10.35,10.35
GARCIA,FRESHWATER,2,12.83,12.83
GARCIA,SALT,2,13.41,13.41
GASTROPODA,EPHEMEROPTERA,2,11.09,11.09
GEOTRIA,AUSTRALIS,2,10.14,10.14
GIBBOSUS,LINNAEUS,2,9.05,9.05
GILA,CYPHA,2,12.68,12.68
GILA,ROBUSTA,2,12.68,12.68
GLYCERIA,MAXIMA,2,13.99,13.99
GOBIO,PHOXINUS,2,10.24,10.24
GOBIOMORPHUS,HUTTONI,2,12.54,12.54
HALIOTIS,RUBRA,2,13.99,13.99
HATCHERIA,MACRAEI,2,13.99,13.99
HEPTAGENIIDAE,PLECOPTERA,2,10.95,10.95
HIRUDINEA,DIPTERA,2,11.04,11.04
HUCHO,THYMALLUS,2,9.31,9.31
HYDRACARINA,COPEPODA,2,11.355,11.355
HYDRACARINA,MEGALOPTERA,2,12.54,12.54
HYDROCYNUS,VITTATUS,2,13.67,13.67
HYDROPHILIDAE,DIPTERA,2,11.24,11.24
LECITHASTER,GIBBOSUS,2,9.52,9.52
LEPISOSTEUS,PLATOSTOMUS,2,12.83,12.83
LEPOMIS,LINNAEUS,2,7.56,7.56
LEPOMIS,MEGALOTIS,2,8.16,8.16
LEPOMIS,POMOXIS,2,8.16,8.16
LEPTODORA,KINDTII,2,13.67,13.67
LEUCISCUS,GOBIO,2,9.06,9.06
LINNAEUS,FONTINALIS,2,8.19,8.19
LOTA,LINNEAUS,2,12.41,12.41
LOXODONTA,AFRICANA,2,13.99,13.99
LUCIOPERCA,FLUVIATILIS,2,6.46,6.46
LUCIUS,RUTILUS,2,7.86,7.86
LUMBRICULUS,VARIEGATUS,2,13.99,13.99
LUTRA,LINNAEUS,2,7.895,7.895
MACRHYBOPSIS,STORERIANA,2,13.67,13.67
MEGALOPTERA,DYTISCIDAE,2,13,13
MELANOSTOMUS,MARMORATUS,2,11.83,11.83
MENIDIA,BERYLLINA,2,12.19,12.19
MICROGOBIUS,GULOSUS,2,11.75,11.75
MOLLUSCA,POTAMOPYRGUS,2,13.99,13.99
