[RF]|||331030|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553418|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553418|SRC|980|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553420|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553420|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553420|PUB|7849|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553420|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553421|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553421|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553421|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553422|PUB|1566|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553422|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553422|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553422|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553423|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553423|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553423|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553430|PUB|163|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553430|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||553430|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||591704|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||591704|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||623286|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||633905|PUB|1896|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914074|SRC|981|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914087|PUB|10263|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914087|SRC|980|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914089|PUB|10231|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914089|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914092|PUB|10279|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914092|SRC|981|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914094|PUB|7849|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914154|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914156|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914179|PUB|13333|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||914179|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[VL]||10944|||161061|PUB|2861|,,,,,,,,,,,,,,,,,,,,
[VL]||10945|||161061|PUB|1404|,,,,,,,,,,,,,,,,,,,,
[VL]||11336|||161931|PUB|1567|,,,,,,,,,,,,,,,,,,,,
[VL]||11379|||161989|PUB|1405|,,,,,,,,,,,,,,,,,,,,
[VL]||11379|||161989|PUB|2861|,,,,,,,,,,,,,,,,,,,,
[VL]||11379|||161989|SRC|184|,,,,,,,,,,,,,,,,,,,,
[VL]||153620|||553420|PUB|7849|,,,,,,,,,,,,,,,,,,,,
[VL]||153621|||914089|PUB|10231|,,,,,,,,,,,,,,,,,,,,
[VL]||153629|||914087|PUB|10263|,,,,,,,,,,,,,,,,,,,,
[VL]||84647|||161989|PUB|2861|,,,,,,,,,,,,,,,,,,,,
[VL]||84647|||161989|SRC|184|,,,,,,,,,,,,,,,,,,,,
[VL]||85484|||158852|SRC|185|,,,,,,,,,,,,,,,,,,,,
[VL]||85537|||202423|SRC|185|,,,,,,,,,,,,,,,,,,,,
[VL]||85539|||331030|SRC|185|,,,,,,,,,,,,,,,,,,,,
