source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
LUCIOBARBUS,GRAELLSII,12.49,3.0,12.49,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTJANUS,GRISEUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTRA,LUTRA,13.98,38.0,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUXILUS,CHRYSOCEPHALUS,11.67,1.0,11.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUXILUS,CORNUTUS,13.75,8.0,13.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LYTHRURUS,UMBRATILIS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACCULLOCHELLA,MACQUARIENSIS,13.0,3.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACCULLOCHELLA,PEELII,13.67,6.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AMBIGUA,12.09,6.0,12.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AUSTRALASICA,13.84,31.0,13.84,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,NOVEMACULEATA,9.71,1.0,9.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACRHYBOPSIS,AESTIVALIS,11.83,1.0,11.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACRHYBOPSIS,STORERIANA,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
