TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,FLUVIATILIS,LAMPETRA, GENUS,VTO ontology,is_a,12.65,204.0,12.65,WEB corpus,both
 SPECIES,PLANERI,LAMPETRA, GENUS,VTO ontology,is_a,12.58,68.0,12.58,WEB corpus,both
 SPECIES,CAMTSCHATICUM,LETHENTERON, GENUS,VTO ontology,is_a,13.26,3.0,13.26,WEB corpus,both
 SPECIES,CAMTSCHATICUM,LETHENTERON, GENUS,VTO ontology,is_a,13.26,3.0,13.26,WEB corpus,both
 SPECIES,CEPHALUS,LEUCISCUS, GENUS,VTO ontology,is_a,13.36,66.0,13.36,WEB corpus,both
 SPECIES,POLYLEPIS,PSEUDOCHONDROSTOMA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,VISON,MUSTELA, GENUS,VTO ontology,is_a,13.67,2.0,13.67,WEB corpus,both
,SCHLEGELI,ACANTHOPAGRUS,,,,13.67,4.0,13.67,WEB corpus,right_only
,CERNUA,ACERINA,,,,13.36,20.0,13.36,WEB corpus,right_only
,CHIRONOMIDAE,AESHNIDAE,,,,12.68,2.0,12.68,WEB corpus,right_only
,GLUTINOSA,ALNUS,,,,13.99,3.0,13.99,WEB corpus,right_only
,CERIODAPHNIA,ALONA,,,,13.0,1.0,13.0,WEB corpus,right_only
,NANA,ALONELLA,,,,13.99,3.0,13.99,WEB corpus,right_only
,ETHEOSTOMA,AMMOCRYPTA,,,,12.68,1.0,12.68,WEB corpus,right_only
,HYLIDAE,AMPHIBIA,,,,13.99,1.0,13.99,WEB corpus,right_only
,BAGRIDAE,ANGUILLIDAE,,,,13.0,1.0,13.0,WEB corpus,right_only
,FENNICA,ANNALES,,,,13.99,1.0,13.99,WEB corpus,right_only
,ACARI,ANNELIDA,,,,12.68,1.0,12.68,WEB corpus,right_only
,MELANOSTOMA,APOLLONIA,,,,13.73,5.0,13.73,WEB corpus,right_only
