parent,child,hits,score,score.1,Hits,Score
CRYPTOMERIA,JAPONICA,3.0,10.12,10.12,3.0,10.12
CTENOPHARYNGODON,IDELLUS,1.0,13.99,13.99,1.0,13.99
CULAEA,INCON,2.0,13.99,13.99,2.0,13.99
CURTONOTUM,HEMIPTERA,1.0,11.3,11.3,1.0,11.3
CURUSSIUS,CARASSIUS,1.0,10.41,10.41,1.0,10.41
CYCLEPTUS,ELONGATUS,2.0,13.41,13.41,2.0,13.41
CYNOSCION,REGALIA,1.0,13.99,13.99,1.0,13.99
CYPRINELLA,CAERULEA,6.0,11.91,11.91,6.0,11.91
CYPRINELLA,GALACTURA,2.0,10.44,10.44,2.0,10.44
CYPRINELLA,HYBOPSIS,1.0,9.41,9.41,1.0,9.41
CYPRINELLA,LUTRENSIS,9.0,12.33,12.33,9.0,12.33
CYPRINELLA,PIMEPHALES,2.0,10.3,10.3,2.0,10.3
CYPRINELLA,SPILOPTERA,1.0,9.48,9.48,1.0,9.48
CYPRINELLA,VENUSTA,24.0,13.47,13.47,24.0,13.47
CYPRINIDAE,BRAMA,1.0,8.93,8.93,1.0,8.93
CYPRINIDAE,FUNDULIDAE,1.0,11.83,11.83,1.0,11.83
CYPRINIDAE,PERCIDAE,1.0,11.19,11.19,1.0,11.19
CYPRINIDAE,POECILIIDAE,1.0,11.54,11.54,1.0,11.54
CYPRINIDAE,SALMONIDAE,1.0,10.54,10.54,1.0,10.54
CYPRINIDAE,SPECIE,1.0,4.62,4.62,1.0,4.62
CYPRINIDAE,TELEOSTEI,1.0,11.19,11.19,1.0,11.19
CYPRINIDAE,UMBRIDAE,1.0,11.41,11.41,1.0,11.41
CYPRINIFORMES,CATOSTOMIDAE,1.0,13.0,13.0,1.0,13.0
CYPRINIFORMES,CYPRINIDAE,1.0,11.0,11.0,1.0,11.0
CYPRINODON,MACULARIUS,3.0,12.77,12.77,3.0,12.77
CYPRINODON,NEVADENSIS,1.0,11.41,11.41,1.0,11.41
CYPRINODON,PECOSENSIS,1.0,11.41,11.41,1.0,11.41
CYPRINODON,RUBROFLUVIATILIS,3.0,12.77,12.77,3.0,12.77
CYPRINODON,TULAROSA,3.0,12.77,12.77,3.0,12.77
CYPRINUS,CARPIO,2.0,13.19,13.19,2.0,13.19
CYPRINUS,LINNAEUS,3.0,9.44,9.44,3.0,9.44
DAPHIA,PULEX,1.0,11.3,11.3,1.0,11.3
DAPHNIA,CRISTATA,2.0,11.24,11.24,2.0,11.24
DAPHNIA,DROSOPHILA,2.0,11.24,11.24,2.0,11.24
DAPHNIA,GALEATA,10.0,13.19,13.19,10.0,13.19
DAPHNIA,HYALINA,1.0,10.3,10.3,1.0,10.3
DAPHNIA,LUMHOLTZI,1.0,10.3,10.3,1.0,10.3
DAPHNIA,MAGNA,3.0,11.77,11.77,3.0,11.77
DAPHNIA,PULEX,5.0,12.11,12.11,5.0,12.11
DAPHNIA,ROTIFERA,1.0,10.19,10.19,1.0,10.19
DICAMPTODON,ATERRIMUS,1.0,13.99,13.99,1.0,13.99
DICENTRARCHUS,LABRAX,4.0,13.99,13.99,4.0,13.99
DIET,AMBIGUA,1.0,11.83,11.83,1.0,11.83
DIET,MACQUARIA,1.0,11.83,11.83,1.0,11.83
DILUVIANA,FISH,2.0,9.85,9.85,2.0,9.85
DIPTERA,CHIRONOMIDAE,1.0,10.0,10.0,1.0,10.0
DIPTERA,CLADOCERA,1.0,9.91,9.91,1.0,9.91
